通信总量,等效通信总量,延时
24450408.0,112350745.73287567,2600242.893741211
24451038.0,143403292.76579064,2605985.6173509313
24455286.0,253084218.6445419,2617028.70668676
24455916.0,98662054.89655374,2628025.426791597
24456546.0,356485260.4970521,2658349.720320412
24459714.0,164389825.32329306,2563330.469098628
24464232.0,161179393.3996682,2592546.7295805006
24464682.0,143631028.0615585,2616018.8961971253
24468930.0,149715831.4848442,2580182.2538895234
24469650.0,185036324.53631625,2622950.451092288
24478056.0,138236932.81547624,2625544.21263089
24478956.0,132800297.78869587,2600733.4486447056
